iter	Passed	Remaining
644	30685	40676
645	30725	40619
646	30770	40567
647	30819	40521
648	30860	40465
649	30902	40410
650	30942	40353
651	30986	40301
652	31032	40252
653	31083	40208
654	31124	40152
655	31172	40106
656	31223	40063
657	31270	40014
658	31310	39958
659	31351	39901
660	31395	39850
661	31443	39803
662	31484	39746
663	31526	39692
664	31573	39645
665	31629	39608
666	31680	39565
667	31723	39512
668	31774	39468
669	31817	39415
670	31863	39366
671	31909	39317
672	31955	39267
673	31997	39213
674	32039	39158
675	32088	39113
676	32138	39069
677	32178	39012
678	32226	38966
679	32269	38912
680	32311	38859
681	32357	38810
682	32404	38761
683	32446	38708
684	32491	38657
685	32534	38605
686	32583	38559
687	32623	38503
688	32670	38455
689	32720	38410
690	32767	38363
691	32815	38316
692	32857	38262
693	32901	38211
694	32942	38156
695	33002	38123
696	33053	38079
697	33103	38035
698	33151	37988
699	33199	37941
700	33245	37893
701	33292	37844
702	33336	37793
703	33385	37748
704	33432	37701
705	33486	37660
706	33537	37617
707	33578	37562
708	33623	37512
709	33672	37466
710	33716	37414
711	33756	37360
712	33806	37314
713	33852	37265
714	33887	37205
715	33933	37155
716	33978	37106
717	34026	37059
718	34067	37004
719	34108	36950
720	34155	36902
721	34200	36853
722	34242	36800
723	34282	36745
724	34329	36697
725	34379	36652
726	34427	36605
727	34469	36552
728	34521	36510
729	34561	36455
730	34606	36405
731	34656	36360
732	34701	36311
733	34746	36260
734	34792	36212
735	34834	36159
736	34881	36111
737	34925	36061
738	34979	36021
739	35031	35978
740	35077	35929
741	35122	35880
742	35168	35830
743	35211	35779
744	35261	35734
745	35308	35687
746	35353	35637
747	35398	35588
748	35442	35537
749	35484	35484
750	35531	35437
751	35572	35382
752	35614	35330
753	35668	35289
754	35717	35244
755	35765	35198
756	35809	35147
757	35866	35108
758	35933	35080
759	35982	35035
760	36026	34985
761	36076	34940
762	36121	34890
763	36164	34839
764	36205	34785
765	36249	34735
766	36291	34682
767	36333	34630
768	36378	34581
769	36424	34532
770	36473	34486
771	36516	34435
772	36562	34387
773	36611	34341
774	36652	34288
775	36698	34239
776	36744	34190
777	36789	34141
778	36834	34092
779	36875	34038
780	36916	33985
781	36960	33935
782	37008	33888
783	37058	33844
784	37104	33796
785	37151	33748
786	37195	33698
787	37243	33651
788	37289	33603
789	37333	33553
790	37379	33504
791	37426	33457
792	37475	33411
793	37517	33359
794	37570	33317
795	37620	33272
796	37667	33225
797	37717	33180
798	37759	33128
799	37804	33078
800	37846	33027
801	37891	32977
802	37937	32929
803	37981	32879
804	38031	32834
805	38076	32785
806	38122	32736
807	38167	32688
808	38210	32636
809	38255	32588
810	38299	32537
811	38341	32486
812	38390	32440
813	38430	32387
814	38472	32335
815	38513	32283
816	38554	32231
817	38602	32184
818	38648	32135
819	38688	32082
820	38730	32031
821	38772	31980
822	38816	31930
823	38866	31885
824	38917	31841
825	38959	31790
826	39007	31743
827	39051	31693
828	39101	31649
829	39149	31602
830	39191	31551
831	39246	31510
832	39287	31458
833	39334	31411
834	39388	31369
835	39432	31319
836	39476	31270
837	39516	31216
838	39562	31169
839	39608	31120
840	39649	31069
841	39700	31025
842	39743	30974
843	39789	30926
844	39836	30879
845	39886	30834
846	39930	30784
847	39975	30736
848	40026	30691
849	40074	30645
850	40125	30601
851	40170	30552
852	40218	30505
853	40266	30459
854	40314	30412
855	40362	30366
856	40406	30316
857	40447	30265
858	40494	30217
859	40543	30171
860	40594	30127
861	40635	30076
862	40680	30027
863	40723	29977
864	40768	29928
865	40811	29878
866	40853	29827
867	40899	29779
868	40943	29730
869	40993	29684
870	41039	29637
871	41084	29588
872	41130	29540
873	41176	29492
874	41219	29442
875	41265	29394
876	41308	29344
877	41352	29295
878	41393	29243
879	41442	29198
880	41487	29149
881	41531	29100
882	41578	29053
883	41625	29006
884	41668	28955
885	41708	28904
886	41748	28852
887	41798	28807
888	41840	28756
889	41884	28707
890	41933	28661
891	41982	28615
892	42024	28565
893	42074	28520
894	42121	28473
895	42169	28426
896	42217	28380
897	42262	28332
898	42306	28282
899	42357	28238
900	42402	28189
901	42456	28147
902	42501	28098
903	42542	28047
904	42589	28001
905	42633	27952
906	42683	27906
907	42730	27859
908	42799	27826
909	42851	27782
910	42893	27732
911	42935	27682
912	42976	27631
913	43015	27579
914	43065	27533
915	43111	27485
916	43160	27440
917	43208	27393
918	43251	27344
919	43295	27294
920	43341	27246
921	43388	27200
922	43435	27152
923	43479	27104
924	43521	27053
925	43567	27006
926	43611	26957
927	43655	26908
928	43702	26861
929	43747	26812
930	43789	26763
931	43837	26716
932	43884	26669
933	43929	26621
934	43980	26576
935	44025	26528
936	44075	26482
937	44123	26436
938	44168	26388
939	44218	26342
940	44267	26296
941	44306	26245
942	44354	26198
943	44398	26149
944	44443	26101
945	44489	26054
946	44538	26008
947	44584	25960
948	44634	25915
949	44681	25868
950	44733	25824
951	44785	25779
952	44861	25749
953	44909	25702
954	44959	25657
955	45001	25607
956	45054	25563
957	45099	25515
958	45140	25465
959	45183	25415
960	45229	25368
961	45274	25319
962	45314	25269
963	45362	25222
964	45409	25175
965	45456	25127
966	45503	25081
967	45551	25034
968	45599	24988
